Language;Hash;Sentence
en_US;c6d5e71e31df46be00e509acd441b079;{name1} and {name2} loved {sent_aux_a} a {sent_aux_b} product {sent_aux_c} on {GetSocial}.
en_US;c7ddcd17cd43da14f5bbb361f8aa8d6d;You loved this.
en_US;d0fb7eb30f9bc0774d3795e3b240dba6;{name1} loved {product1}.
en_US;d619054edafb18259ead8cbb19fb2599;{name1} loved this.
en_US;d64b30103a71ed278a762fbf51bddb94;{name1} loved {GetSocial} a product on.
en_US;d9a7d5943c1b466bff720ad1222f020a;{name} products loved
en_US;d9f7f7cb14f8f1086679fe079338ec31;{name} loved a content.
en_US;db18ae63ceec619e9f8da0d8f4b629eb;{name1} loved {content1} and {content count other contents}. {sent_aux_a}
en_US;e0883580d6b29830049679a10e9eee61;{name1} and {name count others} loved {content1}. {sent_aux_a}
en_US;e45a130679411c722694a97e394cd737;{name1} and {name count others} loved {GetSocial} a product on.
en_US;e73883c70bced1854d599557f48ecd93;{content1} Loved.
en_US;eb1b835787d8c2e18697cbfde3639f46;{name1} loved {product1} and {product count other products}. {sent_aux_a}
en_US;ed4beb5620e4a6c6cf13ceb1dfd2fcde;{number} You and others loved this.
en_US;edcc7d724b233ae26c13419fdf23f0b3;{name1} loved {content count contents}.
en_US;ee19e047374a0c15965d396b21c84634;{name1} loved {product1}. {sent_aux_a}
en_US;ee99a80140a2fa6df7d25e84c75e245d;contents they loved
en_US;f0066c24af34c8bc34f3d6fc7a321603;{name1} loved a product.
en_US;f140de2a4595bf8a02190d5ca2079b78;{name1} and {name2} loved {product count products}. {sent_aux_a}
en_US;f2969c3621e320e3552681d9bf262ab8;contents you loved
en_US;f4efc30f26d0f9a3a1dff15328e0721b;contents she loved
en_US;f7ecb4ae86fd5c973eca8633694be9fe;{name} loved {number} products.
en_US;fa6514f86e79f56dedeca5fec589005f;{name1} and {name2} loved {content1} and {content count other contents}.
en_US;fcd388855d677f9ba30e57555a2b4a5e;products she loved
en_US;fec93876c7811b474c39ef155eb36f85;{name1} and {name2} loved {content1}.
en_US;ffc7c8bfd7b82b40231932f6337816ce;{name} loved {sent_aux_a} a {sent_aux_b} product {sent_aux_c}.
